,AUD,EUR,NZD,GBP,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB
2016-01-01,1.395478649,0.925668796,1.483679525,0.680920605,4.0613,1.397,6.5338,6.9072,7.7505,66.56,119.3,4.342,17.36,8.9246,15.615,1.4264,1191.46,143.54,8.5057,1.0042,33.15,36.15,6.2842
2016-01-02,1.395478649,0.925668796,1.483679525,0.680920605,4.0613,1.397,6.5338,6.9072,7.7505,66.56,119.3,4.342,17.36,8.9246,15.615,1.4264,1191.46,143.54,8.5057,1.0042,33.15,36.15,6.2842
2016-01-03,1.395478649,0.925668796,1.483679525,0.680920605,4.0613,1.397,6.5338,6.9072,7.7505,66.56,119.3,4.342,17.36,8.9246,15.615,1.4264,1191.46,143.54,8.5057,1.0042,33.15,36.15,6.2842
2016-01-04,1.395478649,0.925668796,1.483679525,0.680920605,4.0613,1.397,6.5338,6.9072,7.7505,66.56,119.3,4.342,17.36,8.9246,15.615,1.4264,1191.46,143.54,8.5057,1.0042,33.15,36.15,6.2842
2016-01-05,1.398405817,0.930838686,1.492537313,0.681942171,4.0108,1.3991,6.5219,6.9441,7.7517,66.49,118.95,4.34,17.3595,8.9165,15.626,1.4279,1190.43,144.2,8.5987,1.0096,33.14,36.12,6.2842
2016-01-06,1.414427157,0.929195317,1.505570611,0.683713934,4.0163,1.4084,6.5554,6.9328,7.7523,66.71,118.54,4.389,17.436,8.9668,15.7855,1.4356,1200.16,143.9,8.6024,1.0084,33.27,36.23,6.2842
2016-01-07,1.423487544,0.920810313,1.503081317,0.685918101,4.0504,1.4061,6.5926,6.8692,7.7541,66.73,118,4.39,17.6525,8.919,15.974,1.4306,1193.05,143.68,8.5106,1.0018,33.2,36.21,6.2842
2016-01-08,1.433486239,0.918695452,1.524622656,0.688562969,4.048,1.415,6.5932,6.8527,7.7636,66.82,117.74,4.375,17.9145,8.9045,16.18,1.4414,1206.97,143.56,8.5287,0.9972,33.34,36.32,6.2842
2016-01-09,1.433486239,0.918695452,1.524622656,0.688562969,4.048,1.415,6.5932,6.8527,7.7636,66.82,117.74,4.375,17.9145,8.9045,16.18,1.4414,1206.97,143.56,8.5287,0.9972,33.34,36.32,6.2842
2016-01-10,1.433486239,0.918695452,1.524622656,0.688562969,4.048,1.415,6.5932,6.8527,7.7636,66.82,117.74,4.375,17.9145,8.9045,16.18,1.4414,1206.97,143.56,8.5287,0.9972,33.34,36.32,6.2842
2016-01-11,1.43020595,0.919286634,1.52578578,0.686624554,4.0464,1.4203,6.5675,6.8586,7.7596,66.78,117.48,4.38,17.956,8.9399,16.8025,1.4352,1206.55,143.68,8.5253,1,33.38,36.29,6.2842
2016-01-12,1.433691756,0.922764603,1.533036946,0.694299799,4.0454,1.4293,6.57,6.8846,7.7617,66.85,117.78,4.409,17.923,8.9039,16.7125,1.4381,1208.95,143.68,8.5535,1.003,33.41,36.33,6.2842
2016-01-13,1.429388222,0.920640766,1.524622656,0.691085003,3.9893,1.4294,6.57,6.8698,7.7594,66.74,118.06,4.409,17.8595,8.8019,16.3905,1.4338,1208.95,143.68,8.5165,1.0064,33.41,36.33,6.2842
2016-01-14,1.432664756,0.920640766,1.545595054,0.694010688,4.0032,1.4374,6.5891,6.8713,7.7854,67.37,118.03,4.39,17.893,8.7635,16.4305,1.4372,1211.28,143.4,8.5348,1.0072,33.49,36.33,6.2842
2016-01-15,1.456876457,0.912075885,1.554968123,0.699839037,4.048,1.4531,6.584,6.8069,7.7962,67.74,116.78,4.3965,18.2475,8.8195,16.8125,1.4403,1216.95,143.26,8.5512,0.9984,33.61,36.33,6.2842
